"date","station","site","location","country","latitude","longitude","grav_tot","distance_to_grid_km"
"2022-09-08","bang_01","bangoi","grand_comore","comoros",-11.36711,43.37958,69,0
"2022-09-08","bang_02","bangoi","grand_comore","comoros",-11.36769,43.37429,69,0.065975335742319
"2018-09-30","bmb_01","bimbini","anjouan","comoros",-12.22042,44.25719,1676,0
"2018-10-01","bmb_02","bimbini","anjouan","comoros",-12.23277,44.2812,87,0
"2022-09-12","chin_01","chindini","grand_comore","comoros",-11.93169,43.49697,107,0
"2022-09-17","chin_02","chindini","grand_comore","comoros",-11.93565,43.49377,107,0
"2018-10-13","djrn_01","djirani","moheli","comoros",-12.28323,43.6221,137,0
"2018-10-14","djrn_02","djirani","moheli","comoros",-12.27261,43.62108,137,0
"2018-10-09","frng_01","ferenga","moheli","comoros",-12.4108,43.70401,20,0
"2018-10-10","frng_02","ferenga","moheli","comoros",-12.41786,43.70248,20,0
"2023-11-02","fss_01","fassi","grand_comore","comoros",-11.39113,43.27732,168,0.275918400624463
"2023-11-02","fss_02","fassi","grand_comore","comoros",-11.39571,43.27571,168,0.602428161520747
"2022-09-16","ifoc_01","ifoundihe_chamboini","grand_comore","comoros",-11.91326,43.42691,86,0.682078003163295
"2022-09-17","ifoc_02","ifoundihe_chamboini","grand_comore","comoros",-11.91747,43.4299,86,0.619529541219941
"2022-09-15","itso_01","itsoundzou","grand_comore","comoros",-11.873187,43.3866534,47,0.884191868930446
"2022-09-16","itso_02","itsoundzou","grand_comore","comoros",-11.8674522,43.384162,47,0.777864336979296
"2022-09-07","ivoi_01","ivoini","grand_comore","comoros",-11.39149,43.40332,94,0
"2022-09-07","ivoi_02","ivoini","grand_comore","comoros",-11.38894,43.40109,94,0
"2022-02-04","kanz_01","kanzoni","moheli","comoros",-12.400322,43.673695,2380,0
"2022-02-05","kanz_02","kanzoni","moheli","comoros",-12.407173,43.671539,2380,0.131387004991633
"2022-09-13","male_03","male","grand_comore","comoros",-11.90958,43.51859,107,0
"2022-09-13","male_04","male","grand_comore","comoros",-11.90733,43.52169,107,0
"2018-10-07","mbch_01","mbachile_napabo","grand_comore","comoros",-11.752227,43.22752,932,0.52304355390538
"2018-10-08","mbch_02","mbachile_napabo","grand_comore","comoros",-11.74426,43.23023,932,0.885076563561057
"2022-09-10","mimo_01","memboiboini","grand_comore","comoros",-11.37151,43.32579,69,0.480574529535962
"2022-09-10","mimo_02","memboiboini","grand_comore","comoros",-11.37374,43.31699,69,0.458198733742871
"2018-10-05","mits_01","mitsamiouli","grand_comore","comoros",-11.39113,43.27742,168,0.27893027763217
"2018-10-06","mits_02","mitsamiouli","grand_comore","comoros",-11.3791,43.28735,168,0
"2023-11-01","mits_03","mitsamiouli_2","grand_comore","comoros",-11.3790333,43.2881833,168,0
"2023-11-01","mits_04","mitsamiouli_2","grand_comore","comoros",-11.37499,43.29049,168,0
"2018-10-13","mrgn_01","miringoni","moheli","comoros",-12.297,43.62397,137,0
"2018-10-14","mrgn_02","miringoni","moheli","comoros",-12.30268,43.62671,137,0
"2018-10-11","mrrn_01","mirereni","moheli","comoros",-12.33908,43.65045,34,0
"2018-10-12","mrrn_02","mirereni","moheli","comoros",-12.32809,43.64773,34,0
"2023-11-04","ndje_01","ndjelezi","grand_comore","comoros",-11.37226,43.39113,69,0
"2023-11-04","ndje_02","ndjelezi","grand_comore","comoros",-11.37578,43.3952,94,0
"2022-09-06","ndro_01","ndroude","grand_comore","comoros",-11.40755,43.41835,94,0
"2022-09-06","ndro_02","ndroude","grand_comore","comoros",-11.41758,43.4235,94,0
"2018-09-27","oua_01","ouani","anjouan","comoros",-12.14242,44.41511,382,0
"2018-09-28","oua_02","ouani","anjouan","comoros",-12.153825,44.40403,45,0.0049890191439961
"2018-10-15","ptou_01","point_ouani","moheli","comoros",-12.24682,43.65845,137,0.204110236247349
"2018-10-16","ptou_02","point_ouani","moheli","comoros",-12.24845,43.65062,137,0.312911293323771
"2018-10-10","samb_01","sambia","moheli","comoros",-12.38775,43.78609,680,0
"2018-10-11","samb_02","sambia","moheli","comoros",-12.39301,43.79161,680,0
"2022-11-18","din_01","dindini","mafia_island_marine_park","tanzania",-7.92177,39.82523,46,0
"2022-11-18","din_02","dindini","mafia_island_marine_park","tanzania",-7.92628,39.82433,46,0
"2019-11-13","fgi_01","fundo_gap_inner","pemba_is","tanzania",-5.0138,39.66669,217,0
"2019-11-13","fgi_02","fundo_gap_inner","pemba_is","tanzania",-5.00948,39.66764,217,0
"2019-11-15","fug_01","fundo_coral_garden","pemba_is","tanzania",-5.00175,39.65602,217,0
"2019-11-17","fug_02","fundo_coral_garden","pemba_is","tanzania",-5.00113,39.65659,217,0.068709790356732
"2019-11-14","fuo_01","fundo_outer","pemba_is","tanzania",-5.04223,39.64186,130,0
"2019-11-14","fuo_02","fundo_outer","pemba_is","tanzania",-5.04704,39.64025,130,0
"2022-11-16","kif_01","kifinge","mafia_island_marine_park","tanzania",-7.84939,39.86331,119,0
"2022-11-16","kif_02","kifinge","mafia_island_marine_park","tanzania",-7.85414,39.86386,119,0
"2022-11-17","kik_01","kisiwa_kikubwa","mafia_island_marine_park","tanzania",-7.95904,39.79773,46,0
"2022-11-20","kitin_01","kitutia_inner","mafia_island_marine_park","tanzania",-8.11881,39.65028,52,0
"2022-11-20","kitin_02","kitutia_inner","mafia_island_marine_park","tanzania",-8.12197,39.65401,52,0
"2022-11-21","kitout_01","kitutia_outer","mafia_island_marine_park","tanzania",-8.13151,39.64531,47,0
"2022-11-21","kitout_02","kitutia_outer","mafia_island_marine_park","tanzania",-8.13405,39.64901,47,0
"2019-11-16","kug_01","kokota_uvinje_gap","pemba_is","tanzania",-5.13608,39.64122,127,0
"2019-11-16","kug_02","kokota_uvinje_gap","pemba_is","tanzania",-5.13836,39.63672,127,0
"2019-11-12","man_01","mandela","pemba_is","tanzania",-4.9971,39.65572,102,0.148516608500379
"2019-11-12","man_02","mandela","pemba_is","tanzania",-4.99211,39.65435,102,0.2639934317227
"2022-11-15","mgein_01","mange_inner","mafia_island_marine_park","tanzania",-8.05631,39.60419,56,0
"2022-11-15","mgein_02","mange_inner","mafia_island_marine_park","tanzania",-8.04771,39.59784,56,0
"2021-11-22","mgeout_01","mange_outer","mafia_island_marine_park","tanzania",-8.07862,39.59646,56,0
"2022-11-22","mgeout_02","mange_outer","mafia_island_marine_park","tanzania",-8.07903,39.60093,56,0
"2022-11-13","mil_01","utumbi","mafia_island_marine_park","tanzania",-7.94522,39.78382,180,0
"2019-11-10","mis_01","misali","pemba_is","tanzania",-5.23994,39.59536,114,0
"2019-11-10","mis_02","misali","pemba_is","tanzania",-5.24336,39.59339,114,0
"2022-11-17","msu_01","kisiwa_kikubwa","mafia_island_marine_park","tanzania",-7.96221,39.7943,46,0
"2019-11-09","njc_01","njao_coral_garden","pemba_is","tanzania",-4.95431,39.6672,102,0
"2019-11-09","njc_02","njao_coral_garden","pemba_is","tanzania",-4.95802,39.6694,102,0
"2019-11-06","njg_01","njao_gap","pemba_is","tanzania",-4.95902,39.66761,102,0
"2022-11-14","nyn_01","nyamalile_north","mafia_island_marine_park","tanzania",-8.0285,39.510833,67,0
"2022-11-14","nys_01","nyamalile_south","mafia_island_marine_park","tanzania",-8.042,39.508667,63,0
"2019-11-07","par_01","paradise","pemba_is","tanzania",-4.91343,39.67091,102,0
"2019-11-05","scs_01","scorpions_secret","pemba_is","tanzania",-4.88761,39.67553,153,0.0740083779858615
"2019-11-05","scs_02","scorpions_secret","pemba_is","tanzania",-4.8825,39.67491,153,0.142305251703846
"2019-11-08","shi_01","shimba","pemba_is","tanzania",-4.87537,39.67348,153,0.0767180884938547
"2019-11-08","shi_02","shimba","pemba_is","tanzania",-4.87225,39.67199,153,0
"2022-11-13","utm_01","utumbi","mafia_island_marine_park","tanzania",-7.94784,39.78749,46,0
"2022-11-19","yuy_01","yuyuni","mafia_island_marine_park","tanzania",-7.198201,39.81374,123,16.3377508584814
"2022-11-19","yuy_02","yuyuni","mafia_island_marine_park","tanzania",-7.98624,39.81177,46,0
"2021-04-12","mkk_01","makokokwe","kisite_marine_national_park","kenya",-4.72326,39.33669,312,0
