date,station,site,max_depth_m,min_depth_m,depth_categories,assoc_habitats,rugosity,habitat_notes
2009-10-16,chuma1,chumb,11,4,high_range_mid-depth,coral,-1,slightly turbid shallow fringing reef. high LC. few predators and few scarids
2009-10-16,chuma2,chumb,13,3,high_range_mid-depth,coral,-1,"slightly turbid shallow fringing reef. high LC, high numbers of Pomacentrids, lethrinids relatively common"
2009-10-17,mnema1,mnemb,18,6,high_range_deep,coral,-1,"reef slope - lots of lethrinids, some lutjanids and carangids"
2009-10-17,mnema2,mnemb,15,-1,high_range_mid-depth,coral,-1,"reef slope - Cetoscarus male, female and juvenile"
2009-10-25,mnaza1,mnazia,22,11,deep,coral,2,"Moderate relief and high diversity corals, high diversity fish but low numbers food fish"
2009-10-25,mnaza2,mnazia,15,3,high_range_mid-depth,coral,2,"Moderate relief and high diversity corals, high diversity fish but low numbers food fish; some turbidity"
2009-10-26,mnazb1,mnazib,17,11,deep,coral,3,"Complex reef w high biodiversity, some turbidity"
2009-10-26,mnazb2,mnazib,15,8,mid-depth,coral,3,"Complex reef w high biodiversity, high turbidity"
2009-10-27,mnazd1,mnazid,8,3,high_range_mid-depth,coral,1,Ilili Inner patch reef very damaged - looks like dynamite and storm damage - large broken pieces of coral
2009-10-27,mnazd2,mnazid,10,5,high_range_mid-depth,coral,1,"Ilili Inner patch reef, some damaged corals, also large vase like corals and echinoderms and molluscs"
2009-10-27,mnaze1,mnazie,17,4,high_range_deep,coral,2,"Matenga Inner patch reef, old dynamite damage - big pieces, dead staghorn abundant, isolated patches of coral; good coral in shallows w schools of Poms"
2009-10-28,mnaze2,mnazie,10,2,high_range_mid-depth,coral,2,"Matenga Inner patch reef, banks of Galaxea, many soft corals, few fish"
2009-10-28,mnazf1,mnazif,15,5,high_range_mid-depth,coral,2,"Outer reef slope near Songa, Mod-Low relief, good HC growth, moderate fish diversity"
2009-10-28,mnazf2,mnazif,15,12,mid-depth,coral,1,"Outer reef slope near Songa, Low relief, good HC growth, moderate fish diversity"
2010-03-14,itsan1,itsandra,19,5,high_range_deep,rock,1,"Site near sandy beach in town, Black rocky coastline, reef about 500m from shore – inner reef of rock boulders covered with corals, further out reef formed and some rock substrate, lots sand.Slopes at 50 degrees."
2010-03-14,itsan2,itsandra,20,5,high_range_deep,rock,1,"Site near sandy beach in town, Black rocky coastline, reef about 500m from shore – inner reef of rock boulders covered with corals, further out reef formed and some rock substrate, lots sand.Slopes at 50 degrees."
2010-03-15,chin1,chin,19,7,high_range_deep,coral,2,"Reef slope, moderate relief, very  clear water, large tabulate Acropora. Drops to over 30m."
2010-03-15,chin2,chin,20,5,high_range_deep,coral,2,"Reef slope, moderate relief, very  clear water, large tabulate Acropora. Drops to over 30m."
2010-03-16,mitsam1,mitsamiouli,20,8,high_range_deep,rock,2,"Scattered corals growing on black larva near shore dropping quite steeply. Towards bay scattered coral reefs on sandy bottom, complex structure of spurs and separated reefs. Many Acropora plates dead with brown turf algae. Some COT."
2010-03-16,mitsam2,mitsamiouli,14,7,high_range_mid-depth,rock,2,"Scattered corals growing on black larva near shore dropping quite steeply. Towards bay scattered coral reefs on sandy bottom, complex structure of spurs and separated reefs. Many Acropora plates dead with brown turf algae. Some COT."
2010-03-17,moindz1,moindz,17,2,high_range_deep,coral,2,"Shore dive from rocky shore line with small sandy bay. Fringing reef with short spur and groove, drops to 15 -17 m at 30 degrees, viz. around 15m. COT outbreak. Counted >30. Most of the Acropora plates dead."
2010-03-18,shom1,shomoni,11,2,high_range_mid-depth,rock,3,Fringing reef off rocks and small sandy bays on east side of Grande Comore.  Shore dive across very wide reef flat (500-1000m) to small reef dropping to around 11m.
2010-03-20,male2,male,20,10,deep,coral,1,"Coral growing on larval rock off rocky shore; scattered corals but fairly diverse. High relief, moderately complex topography  and some low scattered patches of coral. Shelving to rock, sand and rubble."
2010-03-20,bahau,bauhausi,11,3,high_range_mid-depth,coral,2,Fringing reef off sandy beach on island called Mnaybadji Island(?). Dynamite damage clearly seen as extensive areas of rubble.  Coral bleaching beginning – many scattered small colonies are bleaching. 
2010-03-21,feren1,ferenga,19,15,deep,coral,1,"Deep platform reef offshore, starting at around 15-16m and sloping gently to 20 m. Low coral diversity, low relief."
2010-03-21,mea,mea,9,1,high_range_mid-depth,coral,3,Steep drop on sandy wall off Mea island on the east side. Patchy reef with a lot of sand but diverse corals and quite high relief. 
2010-03-23,mirer1,mirereni,20,6,high_range_deep,coral,1,"Fringing reef off Moheli – South-west of the village. High coral cover and diversity – Porites, Acropora plates and Pocillopora, but lots of bleaching too. Some silt from run-off due to heavy rain so visibility down to 12m. "
2010-03-28,ambo1,ambo_inner,11,3,high_range_mid-depth,mangrove,1,Patchy corals on sandy slope off mangroves. Very turbid.
