date,station,site,location,country,latitude,longitude,rugosity,viz,temp,max_depth_m,min_depth_m,div_maxd,habitat
2021-11-23,and_01,andromache,likoni,kenya,-4.10165,39.68993,2,14,26,16,7,21,"Reef with with more dead corals at about 10m, soft corals and encrusting hard corals. Halimeda upto about 17m."
2021-11-23,and_02,andromache,likoni,kenya,-4.10642,39.68922,1,12,26,15,8.2,10.9,Reef area with very few isolated hard coral colonies. Some sponges and dominance of macroalgae. Several blue spotted8 rays 
2022-04-04,aru_01,arusha,msambweni,kenya,-4.48763,39.51693,1.5,20,29,12,10.2,11.2,"Reef dominated with hard corals and soft corals to 10m, sponges and few colonies of hard corals upto 14m with sand and rubble from 16m"
2022-04-04,aru_02,arusha,msambweni,kenya,-4.48453,39.51809,2,12,29,10.6,9.4,15.9,"Forereef flat with rubble and seagrass towards shore, sponges and soft corals dominating the main reef areas with isolated big hard coral colonies. Dead standing acropora colonies likely from bleaching"
2018-09-27,oua_01,ouani,anjouan,comoros,-12.14242,44.41511,NA,20,27,22,17,22,"isolated pinnacle with high coral cover at 17m on top and sloping rapidly. High cover and moderately diverse hard coral – Acropora and Porites common, some Pocillopora and encrusting corals, but no colonies larger than about 1-1.5 m. some severe damage in some parts which looked like large anchor damage. Fish depleted both in abundance and species diversity"
2018-09-28,oua_02,ouani,anjouan,comoros,-12.153825,44.40403,NA,17,27,23.5,6,23.5,"Fringing reef of strongly defined spur and groove structure close to shore with high relief and high live coral on the spurs. Turf algal common on dead coral. Spur and groove depth from ~ 4m to 20m. Sand and Padina macro-algae in the grooves. Fsih depauperate - few species few numbers, and larger species absent."
2018-09-30,bmb_01,bimbini,anjouan,comoros,-12.22042,44.25719,NA,25,29,20,7,20,"Fringing reef beyond the lagoon with 30 degree slope, moderately low coral cover – largely dead reef with several young Acropora and Porites coral heads. Calcareous algal cover relatively high.  Reef ends at around 19-20 of rubble and turf algae which continues sloping to depth.
Coral mortality looks old – maybe a combination of southern facing reef edge so very exposed in SE trade winds, possibly cyclone damage and a large bleaching event – perhaps 1998?
Higher diversity of species and more planktivorous schooling acanthurids – Naso spp.and Acanthurus ring tails. Fringing reef beyond the lagoon with 30 degree slope, moderately low coral cover – largely dead reef with several young Acropora and Porites coral heads. Calcareous algal cover relatively high.  Reef ends at around 19-20 of rubble and turf algae which continues sloping to depth.
Coral mortality looks old – maybe a combination of southern facing reef edge so very exposed in SE trade winds, possibly cyclone damage and a large bleaching event – perhaps 1998?
"
2018-10-01,bmb_02,bimbini,anjouan,comoros,-12.23277,44.2812,NA,26,28,24,9,24,"Forereef largely dead plateau at ~7-10m, to an edge at 12-13m then slopes at 35 deg w more LC and more rugose. Fish abudance and diversity low, but more scarid and chaetodon spp."
2023-03-25,bos_01,boso,kiunga_marine_reserve,kenya,-1.744037,41.520901,2,10,28,2,2,NA,NA
2022-10-26,brc_01,brain_coral,mombasa_marine_national_park,kenya,-3.97886,39.76498,2,12,26,15.9,5,NA,45 degree slope to 22m. Rubble at 15m. Lots of dead coral. Banks of rubble and some live coral. Plateau at 10m then slope
2022-10-26,brc_02,brain_coral,mombasa_marine_national_park,kenya,-3.98243,39.76188,2,12,25,15.8,3.5,16,46 degree slope to 22m. Rubble at 15m. Lots of dead coral. Banks of rubble and some live coral. Plateau at 10m then slope
2023-03-24,ccb_01,chongo_cha_boso,kiunga_marine_reserve,kenya,-1.752606,41.540772,3,12,28,22.3,11.1,NA,NA
2023-03-22,ccc_01,chongo_cha_chano,mkokoni,kenya,-2.001709,41.329818,2,10,28,17.4,16.3,NA,NA
2023-03-21,ccs_01,chongo_cha_sharifu,mkokoni,kenya,-1.879967,41.438103,2,10,27,20.3,11.5,NA,NA
2022-09-08,bang_02,bangoi,grand_comore,comoros,-11.36769,43.37429,2,16,26,11.6,6,13,"rubble and dead coral boomies on sand at 10m. Spurs on sand from 6m to 10m covered at 40-50% by small acropora, pocillopora and soft corals"
2022-09-08,bang_01,bangoi,grand_comore,comoros,-11.36711,43.37958,2,20,26.2,16.4,13,18,extensive flat rubble and dead coral boomies on sand at 15m.
2021-11-17,cha_01,chale,msambweni,kenya,-4.4621,39.53681,2,10,27,14.9,8.1,19.8,Encusting corals and solitary herpolitha and fungia at 8m. Dominant SC from 10m
2021-11-17,cha_02,chale,msambweni,kenya,-4.45619,39.53984,3,13,27,12,8.2,17.4,"Soft coral dominance between 6-8m, isolated coral bommies from 8m. Some pacthes of macroalgae"
2023-02-18,chm_01,chambani,kizingitini,kenya,-2.15035,41.17268,1,8,27,5.6,3.9,NA,NA
2023-03-20,cho_01,chole,mkokoni,kenya,-1.889727,41.381708,4,9,28,4,1,NA,"Coral reef patch, high live coral cover, high rugosity, huge porites boulders"
2023-02-11,chp_01,chipopo,pate,kenya,-2.16603,41.03939,3,7,29,4,1,NA,"Gully running E-W between shallow reef flats. Porites bommies around edge of gully. Sandy bottom at 5m between bommies, surounded by seagrass on around the edge of the gully."
2021-11-22,dnr_01,diani_reef,diani,kenya,-4.27953,39.60407,1.5,15,27,16,11.7,18.1,hard substrate with Halimeda common and encrusting hard corals (echinopora). Big school of L. fulviflamma
2021-11-22,dnr_02,diani_reef,diani,kenya,-4.28317,39.60162,1,13,27,8.4,7.6,11.3,"Dominated by macroalgae, sargassum with very few isolated colonies of encrusting corals, no any evidence of rich hard corals or other substrate other than macroalgae"
2021-03-19,dol_01,dolphin,watamu_marine_national_reserve,kenya,-3.37035,40.01969,3,15,27,16.2,10,22,HC and Sc from 10m on a flat with many dead acropora colonies rubble and sand on deap area from 20m
2022-11-18,din_02,dindini,mafia,tanzania,-7.92628,39.82433,1,17,27,15,7,22.5,"Reef plateau of bare rock at 5-7m, with Turbinaria and some small coral heads and soft corals. Sea urchins abundant, looks like Echinothrix diadema. Steep rock wall, 80degrees, from 10-12 m dropping to 18-25m. "
2022-11-18,din_01,dindini,mafia,tanzania,-7.92177,39.82523,1,22,27,16,8,18.5,"Patchy reef among seagrass beds with dead coral bommies covered in soft corals, dead on top in <2m."
2022-09-12,chin_03,chindini,grand_comore,comoros,-11.93169,43.49697,2,20,25.3,14.3,10,15,spurs and sandy gullies with scattered hard coral mostly acropora and encrusting. High sedimentation
2022-09-17,chin_04,chindini,grand_comore,comoros,-11.93565,43.49377,2,15,26.7,14.2,8,15,"spurs to 13m. Sand, rubbles and island of dead coral. Scattered large porites. 2 hawksbill turtle. High abundance of fish around one particular island, including a napoleon wrasse"
2021-03-19,dol_02,dolphin,watamu_marine_national_reserve,kenya,-3.36778,40.02478,3,15,27,16,10.2,21,Low relief at on flat shallow 10m and changing to gentle slope 20 from 14m manay dead acropora at about 12-14m
2023-03-26,dzi_01,dhiwa_za_ishakani,kiunga_marine_reserve,kenya,-1.707995,41.545832,2,12,28,2,2,NA,NA
2023-11-02,fss_01,fassi,grand_comore,comoros,-11.39113,43.27732,3,19,27,12,8,13.5,"coral slope to sand at 12m. mostly dead, isolated live corals (acropora) and some small massives"
2023-11-02,fss_02,fassi,grand_comore,comoros,-11.39571,43.27571,2,21,27,13,8,15.3,"30 degree coral slope to sand . Fishing line and rubbish. Large structures, Coral largely dead"
2018-10-05,mits_01,mitsamiouli,grand_comore,comoros,-11.39113,44.27742,NA,29,29,14,6,14.8,"shallow low rugosity fringing forereef about 1km from shore. Largely DC (50%), sloping to sand and rubble at ~15m."
2018-10-06,mits_02,mitsamiouli,grand_comore,comoros,-11.3791,43.287350000000004,NA,20,26,19,7,20,"Largely dead very irregular reef patches on sand. Lagoon like, to ~19m. Some sand areas, very few live Acropora coral heads "
2019-11-15,fug_01,fundo_coral_garden,pemba_is,tanzania,-5.00175,39.65602,NA,16,27,15,6,20.6,"Reef plateau at 5m with dead coral and sand and in areas very high live coral - some large areas of live Pavona and encrusting Montipora, and live Acropora plates (over 2m in diameter) at 6m. Reef edge at 5m drops 70-90 degrees and at ~ 14m to 17m live coral cover high – large areas of Montipora, large Acropora plates. Huge colony of Pavona. Many fungids. Reef extends out in a spur before turning into the channel. Here bottom of sand can be seen at ~ 17m. No sign of any damage from fishing gears. Another “coral garden”! Fish relatively abundant at this site, and larger – L. harak, Monotaxis grandoculis, some L. bohar, larger parrotfishes. But no grouper."
2019-11-17,fug_02,fundo_coral_garden,pemba_is,tanzania,-5.00113,39.65659,NA,13,27,13,6,NA,"Sandy plateau with isolated coral patches at ~ 6m. Then slopes at 45-65 degrees to a sand bottom at ~ 25m. Forereef with moderate live coral cover, and realtively diverse in places, and high cover of Echinopora in other areas. On steeper slopes coral ends at 12m and then a slope of rubble and sand to ~ 17m. Bubble coral (Plerogyra or Physogyra) common. Halimeda present. Damaged and broken coral in places with soft corals common. Dead coral looks like fishing gear damage, maybe ringnet gear or even dynamite. Fish density and diversity low."
2019-11-13,fgi_01,fundo_gap_inner,pemba_is,tanzania,-5.0138,39.66669,NA,9.5,28,6,3.5,6,"Narrow strip of small patches of reef on inner side of Fundo Island at 3-6 m, bordering patches of seagrass and large areas of sand. Turbid. Some live coral, notably Lobophyllia, Galaxea and Platygyra. Sea whips. Halimeda in places at 6m. Soft corals and sponges dominate, with dead coral and some rubble. Some sea urchins. Several juvenile scarids, labrids relativel diverse, "
2019-11-13,fgi_02,fundo_gap_inner,pemba_is,tanzania,-5.00948,39.66764,NA,9,27,8,4,8,"Narrow strip of reef on inner side of Fundo Island further north of FGI_01, slightly more structure and corals at 4-8 m, bordering patches of seagrass and large areas of sand. Seagrass also seaward of the reef strip. A lot of old dead coral, many sponges including very large vase sponges, hydroids, anemones. Mulloidichthys flavolineatus common. "
2019-11-14,fuo_02,fundo_outer,pemba_is,tanzania,-5.04704,39.64025,NA,26,26,15,9,17.4,"Forereef of 70 degree wall, drops out of sight beyond 20m. Mostly dead coral, some very small Porites colonies are some of the only live coral. Lots of sand, very similar to FUO_01. Cold upwelling. Lots of planktivores – Naso spp, especially N. thynnoides."
2019-11-14,fuo_01,fundo_outer,pemba_is,tanzania,-5.04223,39.64186,NA,21,28,16.5,8,20.9,"Sand plateau at 5m with scattered dead coral and sponges, some massive Porites and many sea urchins. Reef edge at 10-11m and then drops at 90 degrees to sand and dead coral. Some large dead corals have fallen down the steep wall. Sponges abundant from 9m down. Small Porites bommies relatively common. Forereef of mainly high rugosity dead coral, sand and rubble, with very large pieces of broken coral. Looks like some sort of destructive fishing perhaps – maybe ringnetting? Not fully clear why the reef is so dead  - to beyond visibility, could not see the bottom.Relatively abundant fish compared to other sites and moderately diverse. First schools of snapper – Lutjanus kasmira, lots of fusiliers and Lethrinus harak, and parrotfish more abundant here compared to other sites, with some of the first TPs seen – eg Scarus russelli. Cephalopholis miniata also quite common and relatively large"
2018-10-07,mbch_01,mbachile_napabo,grand_comore,comoros,-11.752227,43.22752,NA,22,25,19,7,22,"Reef comprises, dead coral, sand, rock and algal turf, some macro-algae. No soft coral. Aphareus furca and Pterois sp. relatively common."
2018-10-08,mbch_02,mbachile_napabo,grand_comore,comoros,-11.74426,43.23023,NA,23,25,17,7,19,"Spur and groove structure reef close to shore with low relief and some silt, dominated by rubble and soft coral, with sand and rubbles in the grooves. Live coral ~ 20% dominated by small Porites heads. Anemones quite common. Top plateau at ~ 10m then drops steeply to rubble. Rubbish common especially nappies!"
2022-09-16,ifoc_01,ifoundihe_chamboini,grand_comore,comoros,-11.91326,43.42691,1,15,26.1,13.3,8,15,"Basaltic slope, makes a plateau at 20ºfrom 5m to 15m depth with lots of small porites and scattered large rocky relief, then drops with 50º. Fewer acropora, high soft coral cover"
2022-09-17,ifoc_02,ifoundihe_chamboini,grand_comore,comoros,-11.91747,43.4299,1,15,26.7,12.6,7,14,"Basaltic slope, makes a plateau at 20º  to 20m depth. high soft coral cover (about 60%). Very few big fish"
2022-09-15,itso_01,itsoundzou,grand_comore,comoros,-11.873187,43.3866534,4,20,25.8,16.5,6,20,Steep slope and wall dropping to 40m+.  High hard coral cover >85% with lot of leafy hard corals. Low fish abundance
2022-09-16,itso_02,itsoundzou,grand_comore,comoros,-11.8674522,43.384162,4,15,26.7,15.7,8,18," High hard coral cover >80%, good diversity of the hard coral including leafy hard corals (40-50% of HC), acropora, porites. 50º slope to 15m then drop to some extent"
2022-03-04,iwe_01,iweni,lamu,kenya,-2.214504,41.018066,2,7,26,5.6,4.2,5.6,Shallow sheltered reef with sand on the edge 6m and reef flat adjacent to mangrove areas on the landward side. Massive galaxea with big massive porites along the edge
2021-03-29,jac_01,jacaranda,malindi_marine_national_reserve,kenya,-3.31053,40.12719,1,10,29,6.8,4.5,6.8,"Rubble and macroalgae dominant, very few isolated coral colonies, Flat with rubble and sand at 7m Bigger rubble at 6m, poor viz"
