date,station,site,location,country,family,species,trophic_group,ts_no,number,size_class,notes,l,a,b,weight_g,tot_wt_g
2015-10-03,ch_mvundeni,ch_mvundeni,kiunga,kenya,pomacanthidae,centropyge_sp.,grazer-detritivores,2,1,6,,8,0.0745,2.577,15.83,15.83
2015-10-04,ch_rubu,ch_rubu,kiunga,kenya,pomacanthidae,centropyge_sp.,grazer-detritivores,2,1,6,,8,0.0745,2.577,15.83,15.83
2015-10-04,ch_rubu,ch_rubu,kiunga,kenya,pomacanthidae,centropyge_sp.,grazer-detritivores,3,1,6,,8,0.0745,2.577,15.83,15.83
2010-03-15,chin2,chin,chindini,comoros,pomacanthidae,centropyge_sp.,grazer-detritivores,5,2,6,,8,0.0745,2.577,15.83,31.66
2009-10-16,chuma1,chumb,zanzibar,tanzania,pomacanthidae,centropyge_sp.,grazer-detritivores,3,3,6,,8,0.0745,2.577,15.83,47.48
2010-03-29,ambo3,ambo_s,ambodivahibe_s,madagascar,acanthuridae,acanthurus_thompsoni,#error!,5,3,11,,13,NA,NA,NA,NA
2010-03-31,loky6,loky_s,loky,madagascar,acanthuridae,acanthurus_thompsoni,#error!,2,1,16,,18,NA,NA,NA,NA
2010-06-22,metund3,makungn,metundo,mozambique,acanthuridae,acanthurus_thompsoni,#error!,1,1,11,,13,NA,NA,NA,NA
2010-06-23,metund4,makungn,metundo,mozambique,acanthuridae,acanthurus_thompsoni,#error!,3,1,16,,18,NA,NA,NA,NA
2009-10-16,chuma2,chumb,zanzibar,tanzania,pomacanthidae,centropyge_sp.,grazer-detritivores,4,1,6,,8,0.0745,2.577,15.83,15.83
2011-03-26,dindi8,dindini,mafia,tanzania,pomacanthidae,centropyge_sp.,grazer-detritivores,3,1,6,,8,0.0745,2.577,15.83,15.83
2011-03-26,dindi9,dindini,mafia,tanzania,pomacanthidae,centropyge_sp.,grazer-detritivores,4,5,6,,8,0.0745,2.577,15.83,79.14
2010-03-20,feren1,feren,ferenga,comoros,pomacanthidae,centropyge_sp.,grazer-detritivores,2,3,6,,8,0.0745,2.577,15.83,47.48
2010-03-14,itsan1,itsan,itsandra,comoros,pomacanthidae,centropyge_sp.,grazer-detritivores,3,4,6,,8,0.0745,2.577,15.83,63.31
2010-03-14,itsan2,itsan,itsandra,comoros,pomacanthidae,centropyge_sp.,grazer-detritivores,4,5,6,,8,0.0745,2.577,15.83,79.14
2010-03-14,itsan2,itsan,itsandra,comoros,pomacanthidae,centropyge_sp.,grazer-detritivores,5,1,6,,8,0.0745,2.577,15.83,15.83
2011-09-28,mutiv1,mutiva,nacala,mozambique,acanthuridae,acanthurus_thompsoni,#error!,1,21,11,,13,NA,NA,NA,NA
2011-09-28,mutiv1,mutiva,nacala,mozambique,acanthuridae,acanthurus_thompsoni,#error!,1,1,16,,18,NA,NA,NA,NA
2011-09-28,mutiv1,mutiva,nacala,mozambique,acanthuridae,acanthurus_thompsoni,#error!,2,4,16,,18,NA,NA,NA,NA
