date,station,site,location,country,latitude,longitude,exposure,orientation,geology,reef_geomorphology,reeftype_old,reef_type
2010-03-28,ambo1,ambo_inner,ambodivahibe,madagascar,-12.37121667,49.44038333,1,se,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,shallow_terrace
2010-03-29,ambo2,ambo_s,ambodivahibe,madagascar,-12.35865,49.46141667,2,north,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,shallow_terrace
2010-03-29,ambo3,ambo_s,ambodivahibe,madagascar,-12.37233333,49.44946667,2,north,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,shallow_terrace
2010-03-30,ambo4,ambo_outer,ambodivahibe,madagascar,-12.3518,49.46475,3,north,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,forereef
2010-03-30,ambo5,ambo_outer,ambodivahibe,madagascar,-12.33871667,49.43623333,3,east,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,forereef
2010-04-07,andra17,andravina_s_pt,andravina_bay,madagascar,-12.94133333,49.86805,1,nw,continental_fringing_reef,ocean-exposed_fringing_reef,,reef_flat
2010-04-11,anka20,ankao_nne,ankao,madagascar,-12.79138333,49.81213333,2,nw,bank,bank_lagoon,Fringing,shallow_lagoonal_terrace
2010-04-11,anka21,ankao_s,ankao,madagascar,-12.82741667,49.81188333,2,n,bank,bank_lagoon,Fringing,shallow_lagoonal_terrace
2010-04-13,anka21b,ankao_s,ankao,madagascar,-12.82868333,49.81375,2,n,bank,bank_lagoon,Fringing,shallow_lagoonal_terrace
2010-04-12,anka22,ankao_ne,ankao,madagascar,-12.76676667,49.82216667,3,n,bank,bank_barrier,Fringing,forereef
2010-04-12,anka23,ankao_nne,ankao,madagascar,-12.78185,49.811,2,nw,bank,bank_lagoon,Fringing,shallow_lagoonal_terrace
2014-03-30,blenheim1-14,blenheim,blenheim_reef,chagos,-5.253983333,72.44605,5,sw,atoll,atoll_rim,Submerged reef,forereef
2014-03-30,blenheim2-14,blenheim,blenheim_reef,chagos,-5.242966667,72.48263333,5,se,atoll,atoll_rim,Submerged reef,forereef
2014-04-12,cannonpt,dgoutern,diego_garcia,chagos,-7.259416667,72.37263333,4,n,atoll,atoll_rim,Outer wall,forereef
2010-03-15,chin1,chin,grand_comore,comoros,-11.9356,43.48603333,5,south,oceanic_island,ocean-exposed_fringing_reef,Fringing,forereef
2010-03-15,chin2,chin,grand_comore,comoros,-11.93485,43.48138333,5,south,oceanic_island,ocean-exposed_fringing_reef,Fringing,forereef
2010-03-21,feren1,feren,moheli,comoros,-12.4063,43.69545,4,south,oceanic_island,inner-seas_exposed_fringing_reef,offshore deep reef,deep_terrace
2010-03-14,itsan1,itsan,itsandra,comoros,-11.66951667,43.26335,3,west,oceanic_island,ocean-exposed_fringing_reef,Fringing,forereef
2010-03-14,itsan2,itsan,itsandra,comoros,-11.66561667,43.26351667,3,west,oceanic_island,ocean-exposed_fringing_reef,Fringing,forereef
2010-03-20,male2,male,grand_comore,comoros,-11.86995,43.49945,5,south,oceanic_island,ocean-exposed_fringing_reef,rocky shore,forereef
2014-04-12,courtsknoll,dglagoonn,diego_garcia,chagos,-7.26195,72.44333333,2,ne,atoll,atoll_patch,Lagoon knoll,lagoon_pinnacle
2010-03-23,mirer1,mirereni,moheli,comoros,-12.34021667,43.64998333,3,west,oceanic_island,inner-seas_exposed_fringing_reef,Fringing,forereef
2010-03-16,mitsam1,mitsamiouli,grand_comore,comoros,-11.37338333,43.31568333,3,north,oceanic_island,ocean-exposed_fringing_reef,Fringing,forereef
2014-04-10,eaglelee,eagle_lee,gt_chagos_bank,chagos,-6.1846,71.3423,2,e,atoll,atoll_lagoon,Leeward,inner_slope
2014-04-09,eaglen,eagleout,gt_chagos_bank,chagos,-6.173233333,71.33276667,4,n,atoll,atoll_rim,Outer slope,forereef
2014-04-09,eagles,eagleout,gt_chagos_bank,chagos,-6.199583333,71.31528333,4,nw,atoll,atoll_rim,Outer slope,forereef
2014-04-11,egmontn,egmontin,gt_chagos_bank,chagos,-6.6346,71.32638333,4,nw,atoll,atoll_rim,Outer wall,forereef
2014-04-11,egmonts,egmontin,gt_chagos_bank,chagos,-6.6805,71.39588333,5,e,atoll,atoll_rim,Outer slope,forereef
2015-03-13,farol1,quiwia,palma,mozambique,-10.69706667,40.65378333,5,se,continental_fringing_reef,ocean-exposed_fringing_reef,Fore reef slope,forereef
2010-03-16,mitsam2,mitsamiouli,grand_comore,comoros,-11.37903333,43.28818333,3,north,oceanic_island,ocean-exposed_fringing_reef,Fringing,forereef
2011-09-27,fernvlos1,fernauvloso,nacala,mozambique,-14.46953333,40.68065,1,west,continental_fringing_reef,lagoon-exposed_fringing_reef,Fringing,diffuse_fringing_reef
2011-09-27,fernvlos2,fernauvloso,nacala,mozambique,-14.47116667,40.68085,1,west,continental_fringing_reef,lagoon-exposed_fringing_reef,Fringing,diffuse_fringing_reef
2014-09-23,gb14_01_01,pte_gabrielle_parrot_is,goubet,djibouti,11.54875,42.5385,NA,ne,,,7,
2014-09-23,gb14_01_02,pte_gabrielle_parrot_is,goubet,djibouti,11.493115,42.570849,NA,ne,,,8,
2014-09-24,gb14_02_01,vierge_rouge,goubet,djibouti,11.510204,42.671401,NA,sw,,,16,
2014-09-24,gb14_02_02,vierge_rouge,goubet,djibouti,11.504267,42.6828,NA,sw,,,12,
2011-10-05,imboin,imbobank,pemba,mozambique,-12.94866667,40.56408333,3,nw,continental_fringing_reef,ocean-exposed_fringing_reef,Terrace&Wall,deep_terrace
2011-10-05,imboout,imbobank,pemba,mozambique,-12.94608333,40.56653333,3,ne,continental_fringing_reef,ocean-exposed_fringing_reef,Terrace&Wall,deep_terrace
2014-03-28,isangmid,saisle_anglaise,salomon,chagos,-5.331916667,72.21861667,4,wnw,atoll,atoll_rim,Terrace&Wall,forereef
2014-03-27,isangsth,saisle_anglaise,salomon,chagos,-5.338383333,72.21386667,4,wnw,atoll,atoll_rim,Terrace&Wall,forereef
2010-03-17,moindz1,moindz,grand_comore,comoros,-11.77658333,43.24103333,3,west,oceanic_island,ocean-exposed_fringing_reef,Fringing,forereef
2010-03-18,shom1,shomoni,grand_comore,comoros,-11.64466667,43.395,5,east,oceanic_island,ocean-exposed_fringing_reef,Fringing,forereef
2015-10-03,ch_mvundeni,ch_mvundeni,kiunga,kenya,-1.934330016,41.3913,NA,east,,,,
2014-03-27,jrknoll,salomon_lagoon,salomon,chagos,-5.342716667,72.22791667,2,various,atoll,atoll_patch,Lagoon knoll,lagoon_pinnacle
2015-10-04,ch_rubu,ch_rubu,kiunga,kenya,-1.90340599,41.417862,NA,east,,,,
2015-02-01,iweni01,iweni,pate_island,kenya,-2.2158,41.01296667,NA,w,continental_island,inner-seas_exposed_fringing_reef,Reef flat,reef_flat
2015-03-11,kisangamungo,malinde-kiwe,malinde,mozambique,-11.304951,40.50233304,2,west,continental_patch_complex,inner_seas_patch_reef_complex,Patch,shallow_terrace
