date,station,site,country,latitude,longitude,closest_cell,cell_distance_km,chla_annual_mean
2018-09-30,bmb_01,bimbini,comoros,-12.22042,44.25719,12033164,31.0209511686536,0.111019855129476
2018-10-01,bmb_02,bimbini,comoros,-12.23277,44.2812,12033164,33.7517324134601,0.108128875429074
2018-09-27,oua_01,ouani,comoros,-12.14242,44.41511,12033164,48.4840093021712,0.111019855129476
2018-09-28,oua_02,ouani,comoros,-12.153825,44.40403,12033164,47.1399827283889,0.111019855129476
2021-11-22,dnr_02,diani_reef,kenya,-4.28317,39.60162,10164279,39.6519481716085,0.0394302135239545
2021-11-22,dnr_01,diani_reef,kenya,-4.27953,39.60407,10164279,39.2340268456314,0.0394302135239545
2021-11-20,kmo_01,kinondo_makonde,kenya,-4.40924,39.56028,10318162,50.7729233478209,2.87922444259911
2021-11-20,kmo_02,kinondo_makonde,kenya,-4.40924,39.56028,10318162,50.7729233478209,2.87922444259911
2021-11-16,mvu_01,mvureni,kenya,-4.35188,39.57766,10164278,47.2366235358601,0.0401890599447438
2022-09-08,bang_01,bangoi,comoros,-11.36711,43.37958,11808527,61.2265188751428,0.0647654535556303
2022-09-08,bang_02,bangoi,comoros,-11.36769,43.37429,11808527,60.6805866989922,0.0647654535556303
2022-09-12,chin_01,chindini,comoros,-11.93169,43.49697,12033151,29.6034134195295,0.0912858367867073
2022-09-17,chin_02,chindini,comoros,-11.93565,43.49377,12033151,29.1635390086088,0.0912858367867073
2023-11-02,fss_01,fassi,comoros,-11.39113,43.27732,11808527,51.258591582599,0.0815175893355389
2023-11-02,fss_02,fassi,comoros,-11.39571,43.27571,11808527,51.2626946223663,0.0815175893355389
2022-09-16,ifoc_01,ifoundihe_chamboini,comoros,-11.91326,43.42691,12033149,31.6563277947994,0.0900330859187402
2022-09-17,ifoc_02,ifoundihe_chamboini,comoros,-11.91747,43.4299,12033149,31.1951296513516,0.0900330859187402
2022-09-15,itso_01,itsoundzou,comoros,-11.873187,43.3866534,12033148,36.1085129487963,0.0913971985756147
2022-09-16,itso_02,itsoundzou,comoros,-11.8674522,43.384162,12033148,36.746386230999,0.0913971985756147
2022-09-07,ivoi_01,ivoini,comoros,-11.39149,43.40332,11808527,64.4022537004336,0.0647654535556303
