"","date","station","site","country","latitude","longitude","Grav_tot","distance_to_grid_km"
"21793",2010-03-21,"feren1","ferenga","comoros",-12.4063,43.69545,2380,0
"21792",2010-03-23,"mirer1","mirereni","comoros",-12.34021667,43.64998333,34,0
"21570",2010-03-15,"chin1","chin","comoros",-11.9356,43.48603333,107,0
"21569",2010-03-15,"chin2","chin","comoros",-11.93485,43.48138333,86,0
"21524",2010-03-20,"male2","male","comoros",-11.86995,43.49945,86,0
"21456",2010-03-17,"moindz1","moindz","comoros",-11.77658333,43.239531,932,0.701236748377814
"21380",2010-03-14,"itsan1","itsan","comoros",-11.66951667,43.26335,4059,0.775135701840336
"21380.1",2010-03-14,"itsan2","itsan","comoros",-11.66561667,43.26351667,4059,0.79457352368977
"21382",2010-03-18,"shom1","shom","comoros",-11.64466667,43.395625,169,0
"21174",2010-03-16,"mitsam2","mitsam","comoros",-11.37903333,43.28818333,168,0
"21175",2010-03-16,"mitsam1","mitsam","comoros",-11.37338333,43.31568333,69,0.418180948221478
"16089",2016-04-12,"makokokwe1","makokokwe","kenya",-4.723897967,39.33592902,312,0
"16089.1",2016-04-12,"makokokwe2","makokokwe","kenya",-4.721656982,39.33497599,312,0
"16090",2016-04-11,"kisit_lee1","kisite_east","kenya",-4.715047013,39.38061403,300,0
"16090.1",2016-04-11,"kisit_lee2","kisite_east","kenya",-4.71411,39.37610297,300,0
"14677",2015-02-01,"iweni01","iweni","kenya",-2.2158,41.01296667,68,0
"14527",2015-10-06,"shimo_la_tewa","shimo_la_tewa","kenya",-2.04414703,41.24125496,53,0
"14424",2015-10-03,"ch_mvundeni","ch_mvundeni","kenya",-1.934330016,41.3913,57,0
"14424.1",2015-10-04,"ch_rubu","ch_rubu","kenya",-1.90340599,41.417862,57,0
"14425",2015-10-05,"mongo_shariff","mongo_shariff","kenya",-1.88192904,41.436945,54,0
"14349",2015-10-05,"kupi","kui","kenya",-1.833282989,41.43640696,62,0
"14349.1",2015-10-04,"kui","kui","kenya",-1.828320986,41.44495499,62,0
"22139",2010-04-05,"vohe15","vohem","madagascar",-13.33491667,50.01501667,52,0
"22139.1",2010-04-04,"vohe13","vohem","madagascar",-13.32646667,50.01341667,52,0
"21989",2010-04-13,"anka21b","ankao_s","madagascar",-12.82868333,49.81375,73,0
"21989.1",2010-04-11,"anka21","ankao_s","madagascar",-12.82741667,49.81188333,73,0
"21989.2",2010-04-11,"anka20","ankao_nne","madagascar",-12.79138333,49.81213333,73,0
"21989.3",2010-04-12,"anka23","ankao_nne","madagascar",-12.78185,49.811,73,0
"21956",2010-04-12,"anka22","ankao_ne","madagascar",-12.76676667,49.82216667,26,0
"21954",2010-04-09,"loky6b","loky_s","madagascar",-12.73105,49.69546667,37,0
"21954.1",2010-03-31,"loky6","loky_s","madagascar",-12.73046667,49.69643333,37,0
"21954.2",2010-04-01,"loky8","lokynw","madagascar",-12.72423333,49.66738333,37,0
"21954.3",2010-04-01,"loky9","lokynw","madagascar",-12.70198333,49.66535,37,0
"21806",2010-03-29,"ambo3","ambo_s","madagascar",-12.37233333,49.44946667,29,0
"21806.1",2010-03-28,"ambo1","ambo_inner","madagascar",-12.37121667,49.44038333,29,0
"21806.2",2010-03-29,"ambo2","ambo_s","madagascar",-12.35865,49.46141667,29,0
"21807",2010-03-30,"ambo4","ambo_outer","madagascar",-12.3518,49.46475,19,0
"21806.3",2010-03-30,"ambo5","ambo_outer","madagascar",-12.33871667,49.43623333,29,0
"22589",2011-09-27,"fernvlos2","fernauvloso","mozambique",-14.47116667,40.68085,1688,0
"22589.1",2011-09-27,"fernvlos1","fernauvloso","mozambique",-14.46953333,40.68065,1688,0
"22561",2011-10-02,"paradise","paradise","mozambique",-14.45835,40.66068333,219,0.170548858908673
"22561.1",2011-10-01,"napala","napala","mozambique",-14.44946667,40.6774,219,0
"22562",2011-09-28,"mutiva2","mutiva","mozambique",-14.43128333,40.71481667,145,0
"22562.1",2011-09-28,"mutiva1","mutiva","mozambique",-14.42596667,40.72763333,145,0
"22483",2011-09-30,"nangat2","nangata","mozambique",-14.21448333,40.78396667,81,0
"22446",2011-09-30,"nangat1","nangata","mozambique",-14.1846,40.69366667,78,0
"21102",2015-03-11,"malkiwe","malinde_kiwe","mozambique",-11.30974604,40.52603798,34,0
"21102.1",2015-03-11,"kisangamungo","malinde_kiwe","mozambique",-11.304951,40.50233304,34,0
"21039",2014-02-28,"miwona","miwona","mozambique",-11.20781667,40.5244,26,0
"21040",2014-03-02,"quifuki1","quifuki_s","mozambique",-11.20548333,40.61575,23,0
"20987",2015-03-10,"metundoe","metundo_e","mozambique",-11.15118097,40.70303704,20,0
"20986",2015-03-06,"lalane1","lalane","mozambique",-11.14878333,40.53946667,21,0
"20987.1",2014-03-02,"metundone2","metundo_ne","mozambique",-11.13545,40.70286667,20,0
"20987.2",2010-06-23,"metund5","baixo_pinguim_ne","mozambique",-11.1336,40.70335,20,0
"20987.3",2014-03-02,"metundone1","metundo_ne","mozambique",-11.13315,40.70245,20,0
"20987.4",2015-03-10,"metundone1","metundo_ne_2","mozambique",-11.13315,40.70245,20,0
"20987.5",2010-06-21,"metund2","metundo_flat_nw","mozambique",-11.13166667,40.69601667,20,0
"20986.1",2014-02-28,"kiwe2","kiwe","mozambique",-11.12533333,40.61171667,21,0
"20986.2",2015-03-06,"kiwe2","kiwe_2","mozambique",-11.12533333,40.61171667,21,0
"20987.6",2010-06-21,"metund1","metundo_flat_nw","mozambique",-11.12465,40.67598333,20,0
"20987.7",2014-03-01,"shauli1","metundo_nw","mozambique",-11.12168333,40.67656667,20,0
"20987.8",2015-03-05,"shauli1","metundo_nw_2","mozambique",-11.12168333,40.67656667,20,0
"20987.9",2014-03-01,"shauli2","metundo_nw","mozambique",-11.12011667,40.67365,20,0
"20987.10",2015-03-05,"shauli2","metundo_nw_2","mozambique",-11.12011667,40.67365,20,0
"20987.11",2014-02-28,"kiwe1","kiwe","mozambique",-11.11665,40.62633333,20,0
"20987.12",2015-03-06,"kiwe1","kiwe_2","mozambique",-11.11665,40.62633333,20,0
"20988",2010-06-22,"metund3","makunga_n","mozambique",-11.09873333,40.72708333,18,0
"20988.1",2010-06-23,"metund4","makunga_n","mozambique",-11.09865,40.72798333,18,0
"20987.13",2010-06-24,"metund6","baixo_pinguim_ne","mozambique",-11.08083333,40.66075,20,0
"20943",2011-10-09,"va2","vamizinu","mozambique",-11.02225,40.64453333,17,0
"20942",2011-10-10,"va4","vamizinu","mozambique",-11.00726667,40.62273333,21,0
"20944",2011-10-12,"va8","vamizine","mozambique",-10.99668333,40.72485,18,0
"20944.1",2011-10-11,"va6","vamizine","mozambique",-10.99596667,40.72005,18,0.088092302340335
"20943.1",2011-10-09,"va1","vamizinr","mozambique",-10.99563333,40.68433333,17,0
"20943.2",2015-03-07,"vamizine_5","vamizine_2","mozambique",-10.994217,40.71341702,17,0
"20943.3",2011-10-11,"va5","vamizine","mozambique",-10.99421667,40.71341667,17,0
"20943.4",2015-03-07,"vamizinr_3","vamizinr_2","mozambique",-10.99069501,40.68838497,17,0
"20943.5",2011-10-10,"va3","vamizinr","mozambique",-10.98935,40.68725,17,0
"20821",2015-03-12,"rongwe","palma_islands","mozambique",-10.82188399,40.65679098,21,0
